,song,artist,genre,actual_lyrics
0,Rap God,Eminem,Electronic,"['Look I was gonna go easy on you not to hurt your feelings', ""But I'm only going to get this one chance"", 'Six minutes six minutes', ""Something's wrong I can feel it"", ""Six minutes Slim Shady you're on"", ""Just a feeling I've got like something's about to happen but I don't know what.If that means what I think it means we're in trouble big trouble"", ""And if he is as bananas as you say I'm not taking any chances"", 'You are just what the doc ordered', 'Now who thinks their arms are long enough to slap box slap box', 'They said I rap like a robot so call me Rapbot', 'But for me to rap like a computer it must be in my genes', 'I got a laptop in my back pocket', ""My pen'll go off when I halfcock it"", 'Got a fat knot from that rap profit', ""Made a livin' and a killin' off it"", 'Ever since Bill Clinton was still in office', ""With Monica Lewinsky feelin' on his nutsack"", ""I'm an MC still as honest"", 'But as rude and as indecent as all hell', ""Syllables skillaholic Kill 'em all with"", 'This flippity dippityhippity hiphop', ""You don't really wanna get into a pissin' match"", ""With this rappity brat packin' a MAC in the back of the Ac"", 'Backpack rap crap yapyap yacketyyack', ""And at the exact same time I attempt these lyrical acrobat stunts while I'm practicin' that"", ""I'll still be able to break a motherfuckin' table"", 'Over the back of a couple of faggots and crack it in half', 'Only realized it was ironic I was signed to Aftermath after the fact', 'How could I not blow All I do is drop Fbombs', 'Feel my wrath of attack', ""Rappers are havin' a rough time period here's a maxi pad"", ""It's actually disastrously bad for the wack"", ""While I'm masterfully constructing this masterpice""]"
1,WAP,Cardi B (Ft. Megan Thee Stallion),Rap,"['Whores in this house', ""There's some whores in this house"", ""There's some whores in this house"", ""There's somewhoresin this house"", ""Hol' up"", 'Wetass pussy make that pullout game weak woo Ah', 'Yeah yeah yeah yeah', ""Yeah you fuckin' with some wetass pussy"", 'Bring a bucket and a mop for this wetass pussy', 'Give me everything you got for this wetass pussy', 'Beat it up nigga catch a charge', ""I do a kegel while it's inside"", 'Spit in my mouth look in my eyes', ""Let's roleplay I'll wear a disguise"", 'I want you to park that big Mack truck right in this little garage', 'Make it cream make me scream', ""I don't cook I don't clean"", 'But let me tell you how I got this ring Ayy ayy']"
2,Lose Yourself,Eminem,Hip-Hop,"['Look if you had one shot or one opportunity', 'To seize everything you ever wanted in one moment', 'Would you capture it or just let it slip', ""He's nervous but on the surface he looks calm and ready"", 'To drop bombs but he keeps on forgetting', 'What he wrote down the whole crowd goes so loud', ""He opens his mouth but the words won't come out"", ""He's chokin' how Everybody's jokin' now"", ""The clock's run out time's up over blaow"", 'Snap back to reality ope there goes gravity', ""Ope there goes Rabbit he choked he's so mad"", ""But he won't give up that easy no he won't have it"", ""He knows his whole back's to these ropes it don't matter"", ""He's dope he knows that but he's broke he's so stagnant"", ""He knows when he goes back to this mobile home that's when it's"", 'Back to the lab again yo this old rhapsody', ""Better go capture this moment and hope it don't pass him"", 'You better lose yourself in the music', 'The moment you own it you better never let it go Go', 'You only get one shot do not miss your chance to blow', 'This opportunity comes once in a lifetime yo', 'You better lose yourself in the music', 'The moment you own it you better never let it go Go', 'You only get one shot do not miss your chance to blow', 'This opportunity comes once in a lifetime yo', 'You better']"
3,Not Like Us,Kendrick Lamar,Hip-Hop,"['Psst I see dead people', 'Mustard on the beat ho', 'Ayy Mustard on the beat ho', 'Deebo any rap nigga he a free throw', 'Man down call an amberlamps tell him Breathe bro', 'Nail a niggatothecross he walkaround like Teezo', ""What'sup with these jabroniass niggas tryna see Compton"", ""The industry can hate me fuck 'em all and they mama"", ""How many opps you really got I mean it's too many options"", ""I'm finna pass on this body I'm John Stockton"", 'Beat your ass and hide the Bible if God watchin', 'Sometimes you gotta pop out and show niggas', ""Certified boogeyman I'm the one that up the score with 'em"", 'Walk him down whole time I know he got some ho in him', 'Pole on him extort shit bully Death Row on him', ""Say Drake I hear you like 'em young"", 'You better not ever go to cell block one', 'To any bitch that talk to him and they in love', ""Just make sure you hide your lil' sister from him"", 'They tell me Chubbs the only one that get your handmedowns', 'And Baka got a weird case why is he around', 'Certified Lover Boy Certified pedophiles', ""Wop wop wop wop wop Dot fuck 'em up"", ""Wop wop wop wop wop I'ma do my stuff"", ""Why you trollin' like a bitch Ain't you tired"", ""Tryna strike a chord and it's probably A minor""]"
4,Shape of You,Ed Sheeran,Pop,"[""A club isn't the best place to find a lover"", 'So the bar is where I go Mm', ""Me and my friends at the table doin' shots"", ""Drinkin' fast and then we talk slow Mm"", 'And you come over and start up a conversation with just me', ""And trust me I'll give it a chance now Mm"", 'Take my hand stop put Van the Man on the jukebox', ""And then we start to dance and now I'm singin' like"", 'Well come on now follow my lead', ""I may be crazy don't mind me"", 'Well come on now follow my lead', 'Come come on now follow my lead mm', ""I'm in love with the shape of you"", 'We push and pull like a magnet do', 'And last night you were in my room', 'And now my bed sheets smell like you', ""Every day discoverin' somethin' brand new"", ""Well I'm in love with your body""]"
5,HUMBLE.,Kendrick Lamar,Rap,"['Nobody pray for me', 'It been that day for me', 'Way Yeah yeah', 'Ayy I remember syrup sandwiches and crime allowances', ""Finesse a nigga with some counterfeits but now I'm countin this"", ""Parmesan where my accountant lives in fact I'm downin' this"", 'Duss with my boo bae tastes like Kool', 'Aid for the analysts', 'Girl I can buy your ass the world with my paystub', ""Ooh that pussy good won't you sit it on my taste bloods"", 'I get way too petty once you let me do the extras', ""Pull up on your block then break it down we playin' Tetris"", 'A.m. to the p.m. p.m. to the a.m. funk', ""Piss out your per diem you just gotta hate 'em funk"", 'If I quit your BM I still ride Mercedes funk', 'If I quit this season I still be the greatest funk', 'My left stroke just went viral', ""Right stroke put lil' baby in a spiral"", 'Soprano C we like to keep it on a high note', ""It's levels to it you and I know"", 'Bitch be humble Hold up bitch', ""Sit down Hold up lil' hold up lil' bitch"", 'Be humble Hold up bitch', 'Sit down Hold up sit down lil sit down lil bitch', ""Be humble Hold up hold up hold up hold up lil' bitch"", 'Bitch sit down Hold up lil bitch', 'Be humble Hold up bitch', 'Sit down Hold up hold up hold up hold up', ""Be humble Hold up hold up hold up hold up lil'Sit down Hold up lil' bitch"", 'Be humble Hold up bitch', ""Sit down Hold up sit down lil' sit down lil bitch"", ""Be humble Hold up hold up hold up hold up lil' bitch"", ""Bitch sit down Hold up lil' bitch"", 'Be humble Hold up bitch', 'Sit down Hold up hold up hold up hold up']"
6,The Hills,The Weeknd,R&B,"[""Your man on the road he doin' promo"", 'You said Keep our business on the lowlow', ""I'm just tryna get you out the friend zone'Cause you look even better than the photos"", ""I can't find your house send me the info"", ""Drivin' through the gated residential"", ""Found out I was comin' sent your friends home"", 'Keep on tryna hide it but your friends know', ""I only call you when it's halfpast five"", ""The only time that I'll be by your side"", 'I only love it when you touch me not feel me', ""When I'm fucked up that's the real me"", ""When I'm fucked up that's the real me yeah"", ""I only call you when it's halfpast five"", ""The only time I'd ever call you mine"", 'I only love it when you touch me not feel me', ""When I'm fucked up that's the real me"", ""When I'm fucked up that's the real me babe""]"
7,euphoria,Kendrick Lamar,Hip-Hop,"[""eurt s'em tuoba yas yeht gnihtyrev"", 'E', 'Euphoria', ""Them super powers gettin' neutralized I can only watch in silence"", ""The famous actor we once knew is lookin' paranoid and now is spiralin"", ""You're movin' just like a degenerate every antic is feelin' distasteful"", ""I calculate you're not as calculated I can even predict your angle"", ""Fabricatin' stories on the family front 'cause you heard Mr. Morale"", 'A pathetic master manipulator I can smell the tales on you now', ""You'r not a rap artist you a scam artist with the hopes of being accpted"", 'Tommy Hilfiger stood out but FUBU never had been your collection', ""I make music that electrify 'em you make music that pacify 'em"", ""I can double down on that line but spare you this time that's random acts of kindness"", 'Know you a master manipulator and habitual liar too', ""But don't tell no lie about me and I won't tell truths 'bout you"", 'Shoo shoo shoo', 'Shoo shoo shoo', 'Bee bee bee bee bee bee']"
8,Bohemian Rhapsody,Queen,Rock,"['Is this the real life Is this just fantasy', 'Caught in a landslide no escape from reality', 'Open your eyes look up to the skies and see', ""I'm just a poor boy I need no sympathy"", ""Because I'm easy come easy go little high little low"", ""Any way the wind blows doesn't really matter to me to me"", 'Mama just killed a man', ""Put a gun against his head pulled my trigger now he's dead"", 'Mama life had just begun', ""But now I've gone and thrown it all away"", ""Mama ooh didn't mean to make you cry"", ""If I'm not back again this time tomorrow"", 'Carry on carry on as if nothing really matters', 'Too late my time has come', ""Sends shivers down my spine body's aching all the time"", ""Goodbye everybody I've got to go"", 'Gotta leave you all behind and face the truth', 'Mama ooh Any way the wind blows', ""I don't wanna die"", ""I sometimes wish I'd never been born at all""]"
9,Without Me,Eminem,Hip-Hop,"['Obie Trice real name no gimmicks', 'Ra', 'Two trailerpark girls go round the outside', 'Round the outside round the outside', 'Two trailerpark girls go round the outside', 'Round the outside round the outside', 'Woo Ooh ooh', ""Guess who's back back again"", ""Shady's back tell a friend"", ""Guess who's back guess who's back"", ""Guess who's back guess who's back"", ""Guess who's back guess who's back"", ""Guess who's back"", ""I've created a monster'Cause nobody wants to see Marshall no more they want Shady I'm chopped liver"", ""Well if you want Shady this is what I'll give ya"", 'A little bit of weed mixed with some hard liquor', ""Some vodka that'll jumpstart my heart quicker"", 'Than a shock when I get shocked at the hospital', ""By the doctor when I'm not cooperating"", ""When I'm rockin' the table while he's operating Hey"", 'You waited this long now stop debating', ""Cause I'm back I'm on the rag and ovulating"", 'I know that you got a job Ms. Cheney', ""But your husband's heart problem's complicating"", ""So the FCC won't let me be"", 'Or let me be me so let me see', 'They tried to shut me down on MTVBut it feels so empty without me', 'So come on and dip bum on your lips', 'Fuck that cum on your lips and some on your tits', ""And get ready 'cause this shit's about to get heavy"", 'I just settled all my lawsuits Fuck you Debbie']"
