,song_id,song,artist,lyrics,views,genre,acutal_lyrics
0,3057010,Despacito (Remix),Luis Fonsi & Daddy Yankee (Ft. Justin Bieber),https://genius.com/Luis-fonsi-and-daddy-yankee-despacito-remix-lyrics,23760295,Reggaetón,[]
1,235729,Rap God,Eminem,https://genius.com/Eminem-rap-god-lyrics,19719348,Electronic,"['Look I was gonna go easy on you not to hurt your feelings', ""But I'm only going to get this one chance"", 'Six minutes six minutes', ""Something's wrong I can feel it"", ""Six minutes Slim Shady you're on"", ""Just a feeling I've got like something's about to happen but I don't know what.If that means what I think it means we're in trouble big troubleAnd if he is as bananas as you say I'm not taking any chances"", 'You are just what the doc ordered', 'Now who thinks their arms are long enough to slap box slap box', 'They said I rap like a robot so call me Rapbot', 'Verse 1', 'But for me to rap like a computer it must be in my genesI got a laptop in my back pocket', ""My pen'll go off when I halfcock it"", 'Got a fat knot from that rap profit', ""Made a livin' and a killin' off it"", ""Ever since Bill Clinton was still in officeWith Monica Lewinsky feelin' on his nutsack"", ""I'm an MC still as honest"", 'But as rude and as indecent as all hell', ""Syllables skillaholic Kill 'em all with"", 'This flippity dippityhippity hiphop', ""You don't really wanna get into a pissin' matchWith this rappity brat packin' a MAC in the back of the Ac'"", ""Backpack rap crap yapyap yacketyyackAnd at the exact same time I attempt these lyrical acrobat stunts while I'm practicin' that"", ""I'll still be able to break a motherfuckin' tableOver the back of a couple of faggots and crack it in half"", 'Only realized it was ironic I was signed to Aftermath after the fact', 'How could I not blow All I do is drop FbombsFeel my wrath of attack', ""Rappers are havin' a rough time period here's a maxi pad"", ""It's actually disastrously bad for the wack"", ""While I'm masterfully constructing this masterpice""]"
2,5832126,WAP,Cardi B (Ft. Megan Thee Stallion),https://genius.com/Cardi-b-wap-lyrics,16685381,Rap,"[""Whores in this houseThere's some whores in this houseThere's some whores in this houseThere's somewhoresin this houseHol' up"", 'Wetass pussy make that pullout game weak woo Ah', ""Yeah yeah yeah yeahYeah you fuckin' with some wetass pussyBring a bucket and a mop for this wetass pussyGive me everything you got for this wetass pussy"", 'Beat it up nigga catch a charge', ""I do a kegel while it's inside"", 'Spit in my mouth look in my eyes', ""Let's roleplay I'll wear a disguise"", 'I want you to park that big Mack truck right in this little garage', 'Make it cream make me scream', ""I don't cook I don't cleanBut let me tell you how I got this ring Ayy ayy""]"
3,207,Lose Yourself,Eminem,https://genius.com/Eminem-lose-yourself-lyrics,15633972,Hip-Hop,"['Look if you had one shot or one opportunityTo seize everything you ever wanted in one momentWould you capture it or just let it slip', 'Verse 1', ""He's nervous but on the surface he looks calm and readyTo drop bombs but he keeps on forgettingWhat he wrote down the whole crowd goes so loudHe opens his mouth but the words won't come outHe's chokin' how Everybody's jokin' nowThe clock's run out time's up over blaow"", 'Snap back to reality ope there goes gravity', ""Ope there goes Rabbit he choked he's so madBut he won't give up that easy no he won't have itHe knows his whole back's to these ropes it don't matter"", ""He's dope he knows that but he's broke he's so stagnant"", ""He knows when he goes back to this mobile home that's when it's"", 'Back to the lab again yo this old rhapsody', ""Better go capture this moment and hope it don't pass him"", 'You better lose yourself in the musicThe moment you own it you better never let it go GoYou only get one shot do not miss your chance to blowThis opportunity comes once in a lifetime yoYou better lose yourself in the musicThe moment you own it you better never let it go GoYou only get one shot do not miss your chance to blowThis opportunity comes once in a lifetime yoYou better']"
4,10359264,Not Like Us,Kendrick Lamar,https://genius.com/Kendrick-lamar-not-like-us-lyrics,15568639,Hip-Hop,"['Psst I see dead people', 'Mustard on the beat ho', 'Ayy Mustard on the beat ho', 'Deebo any rap nigga he a free throw', 'Man down call an amberlamps tell him Breathe bro', 'Nail a niggatothecross he walkaround like Teezo', ""What'sup with these jabroniass niggas tryna see Compton"", ""The industry can hate me fuck 'em all and they mamaHow many opps you really got I mean it's too many options"", ""I'm finna pass on this body I'm John Stockton"", ""Beat your ass and hide the Bible if God watchin'"", ""Sometimes you gotta pop out and show niggasCertified boogeyman I'm the one that up the score with 'em"", 'Walk him down whole time I know he got some ho in him', 'Pole on him extort shit bully Death Row on him', ""Say Drake I hear you like 'em young"", 'You better not ever go to cell block one', ""To any bitch that talk to him and they in loveJust make sure you hide your lil' sister from him"", 'They tell me Chubbs the only one that get your handmedowns', ""And Party at the party playin' with his nose now"", 'And Baka got a weird case why is he around', 'Certified Lover Boy Certified pedophiles', ""Wop wop wop wop wop Dot fuck 'em upWop wop wop wop wop I'ma do my stuff"", ""Why you trollin' like a bitch Ain't you tiredTryna strike a chord and it's probably A minor""]"
5,2949128,Shape of You,Ed Sheeran,https://genius.com/Ed-sheeran-shape-of-you-lyrics,15487857,Pop,"[""A club isn't the best place to find a loverSo the bar is where I go MmMe and my friends at the table doin' shotsDrinkin' fast and then we talk slow MmAnd you come over and start up a conversation with just meAnd trust me I'll give it a chance now Mm"", ""Take my hand stop put Van the Man on the jukeboxAnd then we start to dance and now I'm singin' like"", ""Well come on now follow my leadI may be crazy don't mind me"", 'Well come on now follow my leadCome come on now follow my lead mm', ""I'm in love with the shape of youWe push and pull like a magnet do"", 'And last night you were in my roomAnd now my bed sheets smell like you', ""Every day discoverin' somethin' brand newWell I'm in love with your body""]"
6,3039923,HUMBLE.,Kendrick Lamar,https://genius.com/Kendrick-lamar-humble-lyrics,12078677,Rap,"['Nobody pray for meIt been that day for meWay Yeah yeah', ""Ayy I remember syrup sandwiches and crime allowancesFinesse a nigga with some counterfeits but now I'm countin this"", ""Parmesan where my accountant lives in fact I'm downin' thisDuss with my boo bae tastes like KoolAid for the analysts"", 'Girl I can buy your ass the world with my paystub', ""Ooh that pussy good won't you sit it on my taste bloods"", ""I get way too petty once you let me do the extrasPull up on your block then break it down we playin' TetrisA.m. to the p.m. p.m. to the a.m. funk"", ""Piss out your per diem you just gotta hate 'em funk"", 'If I quit your BM I still ride Mercedes funk', 'If I quit this season I still be the greatest funk', ""My left stroke just went viralRight stroke put lil' baby in a spiral"", ""Soprano C we like to keep it on a high noteIt's levels to it you and I know"", ""Bitch be humble Hold up bitchSit down Hold up lil' hold up lil' bitchBe humble Hold up bitchSit down Hold up sit down lil sit down lil bitchBe humble Hold up hold up hold up hold up lil' bitchBitch sit down Hold up lil bitchBe humble Hold up bitchSit down Hold up hold up hold up hold upBe humble Hold up hold up hold up hold up lil'Sit down Hold up lil' bitchBe humble Hold up bitchSit down Hold up sit down lil' sit down lil bitchBe humble Hold up hold up hold up hold up lil' bitchBitch sit down Hold up lil' bitchBe humble Hold up bitchSit down Hold up hold up hold up hold up""]"
7,727466,The Hills,The Weeknd,https://genius.com/The-weeknd-the-hills-lyrics,10675380,R&B,"[""Your man on the road he doin' promoYou said Keep our business on the lowlow"", ""I'm just tryna get you out the friend zone'Cause you look even better than the photos"", ""I can't find your house send me the infoDrivin' through the gated residential"", ""Found out I was comin' sent your friends homeKeep on tryna hide it but your friends know"", ""I only call you when it's halfpast fiveThe only time that I'll be by your sideI only love it when you touch me not feel meWhen I'm fucked up that's the real meWhen I'm fucked up that's the real me yeahI only call you when it's halfpast fiveThe only time I'd ever call you mineI only love it when you touch me not feel meWhen I'm fucked up that's the real meWhen I'm fucked up that's the real me babe""]"
8,10341021,euphoria,Kendrick Lamar,https://genius.com/Kendrick-lamar-euphoria-lyrics,10578263,Hip-Hop,"['Part I', ""eurt s'em tuoba yas yeht gnihtyrevE"", 'Euphoria', ""Them super powers gettin' neutralized I can only watch in silence"", ""The famous actor we once knew is lookin' paranoid and now is spiralin'"", ""You're movin' just like a degenerate every antic is feelin' distasteful"", ""I calculate you're not as calculated I can even predict your angle"", ""Fabricatin' stories on the family front 'cause you heard Mr. MoraleA pathetic master manipulator I can smell the tales on you nowYou'r not a rap artist you a scam artist with the hopes of being accpted"", 'Tommy Hilfiger stood out but FUBU never had been your collection', ""I make music that electrify 'em you make music that pacify 'emI can double down on that line but spare you this time that's random acts of kindness"", ""Know you a master manipulator and habitual liar tooBut don't tell no lie about me and I won't tell truths 'bout you"", 'Part II', 'Intro', 'Shoo shoo shooShoo shoo shooBee bee bee bee bee bee']"
9,1063,Bohemian Rhapsody,Queen,https://genius.com/Queen-bohemian-rhapsody-lyrics,10508559,Rock,"['Intro', 'Is this the real life Is this just fantasy', 'Caught in a landslide no escape from realityOpen your eyes look up to the skies and see', ""I'm just a poor boy I need no sympathy"", ""Because I'm easy come easy go little high little lowAny way the wind blows doesn't really matter to me to me"", ""Mama just killed a manPut a gun against his head pulled my trigger now he's deadMama life had just begunBut now I've gone and thrown it all away"", ""Mama ooh didn't mean to make you cryIf I'm not back again this time tomorrowCarry on carry on as if nothing really matters"", 'Too late my time has come', ""Sends shivers down my spine body's aching all the time"", ""Goodbye everybody I've got to go"", 'Gotta leave you all behind and face the truth', 'Mama ooh Any way the wind blows', ""I don't wanna dieI sometimes wish I'd never been born at all""]"
